Datum,Match-up,Bet,Fair,Bookie,Edge,Uitslag,G/F,Result,Inzet,Winst/Verlies,Notitie
12/04/26,,Mainz Win,2.03,2.39,17.73,,,0,10,-10,
12/04/26,,Crystal Palace gelijk,3.04,3.6,18.42,,,0,5,-5,
12/04/26,,Crystal Palace Under 2.5,1.57,2.1,33.76,,,0,15,-15,
12/04/26,,Crystal Palace under 3.5,1.2,1.44,20.00,,,X,,,
12/04/26,,Nottingham Under 2.5,1.68,1.8,7.14,,,1,15,12,
12/04/26,,Sunderland Win,2.02,2.7,33.66,,,1,10,17,
12/04/26,,Chelsea Under 2.5,2.28,2.38,4.39,,,X,,,
12/04/26,,Havre Win,4.49,4.78,6.46,,,X,,,
12/04/26,,Havre Under 2.5,1.74,1.91,9.77,,,1,15,13.65,
12/04/26,,Toulouse Win,3.1,3.27,5.48,,,X,,,
12/04/26,,Toulouse Over 2.5,1.62,2.28,40.74,,,1,15,19.2,
12/04/26,,Lyon Win,1.68,1.74,3.57,,,X,,,
12/04/26,,Lyon Gelijk,3.82,4.06,6.28,,,X,,,
12/04/26,,Lyon Under 2.5,1.78,1.98,11.24,,,1,15,14.7,
12/04/26,,Sassuolo Win,3.28,3.58,9.15,,,0,5,-5,
12/04/26,,Sassuolo Over 2.5,2.03,2.21,8.87,,,X,,,
12/04/26,,Parma Gelijk,3.84,4.01,4.43,,,X,,,
12/04/26,,Parma Over 2.5,2.11,2.29,8.53,,,X,,,
12/04/26,,Bologna Gelijk,3.17,3.5,10.41,,,0,5,-5,
12/04/26,,Bologna Under 2.5,1.51,1.76,16.56,,,1,15,11.4,
12/04/26,,Sittard Win,1.93,2.61,35.23,,,0,10,-10,
12/04/26,,NEC Win,1.89,2.25,19.05,,,0,15,-15,
12/04/26,,NEC Over 3.5,1.63,1.98,21.47,,,0,15,-15,
12/04/26,,PEC Win,1.69,2.2,30.18,,,0,15,-15,
12/04/26,,PEC Under 2.5,2.04,2.25,10.29,,,0,10,-10,
12/04/26,,Heerenveen Win,4.02,4.58,13.93,,,X,,,(Odd dropped)
12/04/26,,Alverca Win,1.78,2.09,17.42,,,1,15,16.35,
12/04/26,,Braga Win,1.32,1.44,9.09,,,X,,,(Odd dropped)
12/04/26,,Braga Over 2.5,1.36,1.7,25.00,,,0,20,-20,
12/04/26,,Braga -1.5,1.75,2.19,25.14,,,X,,,
12/04/26,,Benfica Under 3.5,1.72,1.94,12.79,,,1,15,14.1,
12/04/26,,Estoril Win,5.24,6.24,19.08,,,0,2.5,-2.5,
12/04/26,,Estoril Gelijk,4.09,4.52,10.51,,,0,5,-5,
12/04/26,,Estoril +1.5,1.52,1.62,6.58,,,X,,,
